Disease,X Value,Y Value,Species
FMD,25,0.970760076,Cattle
BTV,37,0.332910821,Cattle
EBL,25,0.179259673,Cattle
B.abortus,14,0.245579186,Cattle
LSD,22,0.44125458,Cattle
EHD,13.884,0.3,Cattle
FMD,25,0.442755797,Sheep
BTV,37,0.561192973,Sheep
Sheep pox,27.5,0.319768076,Sheep
PPR,0,0.85230491,Sheep
EHD,13,0,Sheep
FMD,25,0.33208231,Pigs
ASF,35,0.319309914,Pigs
CSF,13,0.191585948,Pigs
SVD,0,0.036127636,Pigs
PED,4,0.029270075,Pigs
Aujesky's,11,0.133806059,Pigs
HPAI,46.29,1,Poultry
LPAI,46.29,0.090786315,Poultry
Newcastle disease,37,0.638699924,Poultry
EIA,15,0.010151038,Horses
WNV,14.5,0.139214242,Horses
AHS,13.88,0.377038572,Horses
